Country Name,Country Code,Year,gdp,pop,medal number
Azerbaijan,AZE,2004,8680370408.0,8306500.0,5.0
Belgium,BEL,2004,368537000248.0,10421137.0,3.0
Brazil,BRA,2004,669289321945.0,184006479.0,40.0
Canada,CAN,2004,1026690238278.0,31940655.0,17.0
Channel Islands,CHI,2004,8553643354.0,150722.0,4.0
China,CHN,2004,1955347004966.0,1296075000.0,94.0
Cameroon,CMR,2004,18826215278.0,17259322.0,1.0
Belarus,BLR,2004,23144351852.0,9730146.0,17.0
Cuba,CUB,2004,38203000000.0,11250369.0,61.0
Czech Republic,CZE,2004,119814434354.0,10197101.0,12.0
Dominican Republic,DOM,2004,22322395368.0,8974444.0,1.0
"Egypt, Arab Rep.",EGY,2004,78782467532.0,74172073.0,5.0
Eritrea,ERI,2004,1109054005.0,2719809.0,1.0
Spain,ESP,2004,1067093369754.0,42921895.0,27.0
Estonia,EST,2004,12145911801.0,1362550.0,3.0
Ethiopia,ETH,2004,10131187261.0,74239508.0,7.0
Finland,FIN,2004,197116960517.0,5228172.0,2.0
France,FRA,2004,2115742488205.0,62704901.0,53.0
Colombia,COL,2004,117081522350.0,42075953.0,2.0
United Kingdom,GBR,2004,2421814353717.0,59987905.0,57.0
Moldova,MDA,2008,6054849885.0,2867964.0,1.0
Morocco,MAR,2008,92507257784.0,31536807.0,2.0
Lithuania,LTU,2008,47797551588.0,3198231.0,5.0
"Korea, Rep.",KOR,2008,1047339010225.0,49054708.0,78.0
Italy,ITA,2008,2398856598799.0,58826731.0,42.0
Kenya,KEN,2008,35895153328.0,39791984.0,14.0
Kazakhstan,KAZ,2008,133441612247.0,15776938.0,13.0
Japan,JPN,2008,5106679115127.0,128063000.0,51.0
Jamaica,JAM,2008,13709402085.0,2781869.0,17.0
Mexico,MEX,2008,1109989063587.0,110815272.0,4.0
Kyrgyz Republic,KGZ,2008,5139957785.0,5318700.0,2.0
Norway,NOR,2008,462250000000.0,4768212.0,22.0
Turkey,TUR,2008,770462156204.0,70418612.0,8.0
Panama,PAN,2008,25155888616.0,3516204.0,1.0
Poland,POL,2008,533609081853.0,38125759.0,20.0
Romania,ROU,2008,214313628965.0,20537875.0,22.0
Russian Federation,RUS,2008,1660846387625.0,142742366.0,143.0
Serbia,SRB,2008,52194221469.0,7350222.0,15.0
Slovak Republic,SVK,2008,100469509301.0,5379233.0,10.0
Sweden,SWE,2008,517706149201.0,9219637.0,7.0
Thailand,THA,2008,291382991178.0,66530980.0,4.0
Tajikistan,TJK,2008,5161337336.0,7209924.0,2.0
Tunisia,TUN,2008,44860969077.0,10414425.0,1.0
Israel,ISR,2008,216711549610.0,7308800.0,1.0
Ukraine,UKR,2008,188111140644.0,46258189.0,31.0
United States,USA,2008,14712844084000.0,304093966.0,315.0
New Zealand,NZL,2008,133131369930.0,4259800.0,14.0
Iceland,ISL,2008,18074622987.0,317414.0,14.0
Ecuador,ECU,2008,61762635000.0,14535740.0,1.0
India,IND,2008,1198895582138.0,1200669762.0,3.0
Uzbekistan,UZB,2008,29549438884.0,27302800.0,6.0
Afghanistan,AFG,2008,10109305183.0,27722281.0,1.0
Argentina,ARG,2008,361558037110.0,40080159.0,51.0
Armenia,ARM,2008,11662040714.0,2907615.0,6.0
Australia,AUS,2008,1055127126231.0,21249200.0,149.0
Austria,AUT,2008,430294287388.0,8321496.0,3.0
Azerbaijan,AZE,2008,48852482960.0,8763400.0,7.0
Belgium,BEL,2008,515223524242.0,10709973.0,5.0
Belarus,BLR,2008,60763483146.0,9527985.0,30.0
Brazil,BRA,2008,1695855391811.0,192030362.0,75.0
Canada,CAN,2008,1552989690722.0,33247118.0,34.0
China,CHN,2008,4594307032668.0,1324655000.0,184.0
Ireland,IRL,2008,274326912260.0,4489544.0,3.0
Cameroon,CMR,2008,27715144580.0,19252674.0,1.0
